leader,leader speed,follower,follwer speed,headway
car1.0,12.10343972593546,car1.1,4.300676265032962,20.134355334448628
car1.0,15.255456873681396,car1.1,7.800676265032962,27.589135943097062
car1.0,18.3225894193165,car1.1,11.300676265032962,34.611049097380594
car1.0,19.368778280320115,car1.1,14.800676265032962,39.179151112667746
car1.0,17.27219514216995,car1.1,18.300676265032962,38.15066998980474
car1.0,15.07219514216995,car1.1,19.62833733166604,33.59452780030864
car1.0,13.477235057915095,car1.1,17.428337331666043,29.643425526557692
car1.0,11.277235057915096,car1.1,15.738229484256033,25.18243110021676
car1.0,9.464934919615427,car1.1,13.538229484256036,21.10913653557614
car1.0,7.264934919615427,car1.1,11.661312702339641,16.712758752851926
car1.0,5.0649349196154265,car1.1,9.461312702339642,12.31638097012771
car1.0,2.8649349196154263,car1.1,7.261312702339642,7.920003187403495
car1.0,6.115737722468713,car1.1,5.061312702339642,8.97442820753256
car1.0,8.408416594708488,car1.1,6.206541,11.176303802241058
car1.0,8.61522085462153,car1.1,4.0065409999999995,15.784983656862593
car1.0,11.532106255976633,car1.1,7.5065409999999995,19.81054891283923
car1.0,12.322537038794572,car1.1,11.006540999999999,21.126544951633804
car1.0,10.899097479483196,car1.1,13.70546144937238,18.32018098174462
car1.0,10.813398885433935,car1.1,12.152595149946235,16.980984717232324
car1.0,8.613398885433934,car1.1,11.872263376494677,13.722120226171583
car1.0,6.413398885433934,car1.1,9.672263376494678,10.463255735110835
car1.0,4.213398885433934,car1.1,7.472263376494678,7.204391244050086
car1.0,6.063702714383043,car1.1,5.272263376494678,7.995830581938451
car1.0,6.584567086641117,car1.1,6.103328,8.477069668579563
car1.0,8.495066103977523,car1.1,3.903328,13.068807772557086
car1.0,8.987174322465806,car1.1,7.403328,14.65265409502289
car1.0,10.48501704562027,car1.1,10.120070276977224,15.017600863665933
car1.0,12.75704380698291,car1.1,11.326111507691168,16.448533162957673
car1.0,11.190440630087615,car1.1,13.347536028267461,14.291437764777818
car1.0,8.990440630087615,car1.1,11.707106819202648,11.574771575662787
car1.0,6.790440630087615,car1.1,9.50710681920265,8.858105386547749
car1.0,4.590440630087615,car1.1,7.307106819202651,6.141439197432717
car1.0,4.338486375194975,car1.1,5.1071068192026505,5.372818753425037
car1.0,4.606828840357252,car1.1,4.703435042873338,5.2762125509089515
car1.0,6.611745063938201,car1.1,4.829623410541152,7.058334204306007
car1.0,7.530850289995783,car1.1,3.8939450000000004,10.695239494301788
car1.0,9.813803218911403,car1.1,7.393945,13.11509771321319
car1.0,10.920768092294225,car1.1,10.47386211777176,13.56200368773565
car1.0,11.89409265804547,car1.1,11.374012676152093,14.082083669629021
car1.0,9.69409265804547,car1.1,12.258591159976062,11.517585167698428
car1.0,7.49409265804547,car1.1,10.058591159976062,8.953086665767835
car1.0,5.29409265804547,car1.1,7.858591159976062,6.388588163837241
car1.0,3.0940926580454695,car1.1,5.658591159976062,3.8240896619066405
car1.0,3.205413693235955,car1.1,3.458591159976062,3.570912195166529
car1.0,5.248833623621381,car1.1,3.3876629442012414,5.432082874586671
car1.0,6.045765980635537,car1.1,4.025307,7.45254185522221
car1.0,7.554478978994069,car1.1,6.514357938831095,8.492662895385182
car1.0,8.788821062212577,car1.1,7.788774958091848,9.492708999505911
car1.0,10.332235780916875,car1.1,8.931634437228729,10.89331034319406
car1.0,12.10013702374394,car1.1,10.444250693372313,12.549196673565689
car1.0,13.913487962470157,car1.1,12.174813632047565,14.287871003988272
car1.0,14.014070419617696,car1.1,13.966828396972746,14.335113026633223
car1.0,16.45193817480444,car1.1,14.059790792048485,16.727260409389174
car1.0,16.833141508418834,car1.1,16.48622845412753,17.07417346368048
car1.0,18.135509827662958,car1.1,16.86314550282654,18.346537788516898
car1.0,19.412468398362165,car1.1,18.158846267757838,19.600159919121225
car1.0,19.866925561420906,car1.1,19.433211900668727,20.033873579873415
car1.0,19.036851281572424,car1.1,19.883520363266157,19.18720449817971
car1.0,16.836851281572425,car1.1,19.053446083417676,16.970609696334467
car1.0,14.636851281572426,car1.1,16.85344608341768,14.75401489448921
car1.0,12.436851281572427,car1.1,14.65344608341768,12.53742009264396
car1.0,10.77357595902346,car1.1,12.453446083417683,10.857549968249735
car1.0,8.573575959023461,car1.1,10.790170760868715,8.640955166404481
car1.0,6.373575959023461,car1.1,8.590170760868716,6.42436036455922
car1.0,4.173575959023461,car1.1,6.390170760868716,4.207765562713973
car1.0,6.098517101695203,car1.1,4.190170760868717,6.116111903540467
car1.0,7.506377845857665,car1.1,3.8453662188961886,9.777123530501942
car1.0,8.132253493270278,car1.1,3.762583,14.146794023772213
car1.0,11.160207111359947,car1.1,7.262582999999999,18.044418135132158
car1.0,12.410098024266214,car1.1,10.762583,19.69193315939837
car1.0,12.894025053072225,car1.1,13.563060468675635,19.022897743794964
car1.0,10.694025053072224,car1.1,13.813146144165156,15.903776652702035
car1.0,10.119915946469085,car1.1,11.613146144165157,14.41054645500597
car1.0,8.003061706818082,car1.1,10.977842048176463,11.435766113647603
car1.0,5.803061706818082,car1.1,8.84879024682037,8.390037573645316
car1.0,3.6030617068180817,car1.1,6.64879024682037,5.344309033643029
car1.0,3.8424850514283406,car1.1,4.44879024682037,4.738003838251004
car1.0,5.617283088214137,car1.1,4.2897444448396715,6.065542481625471
car1.0,8.805737210845948,car1.1,4.548941009516824,10.322338682954594
car1.0,9.026116846886836,car1.1,3.8564130000000003,15.492042529841427
car1.0,11.944961910311505,car1.1,7.356413,20.080591440152933
car1.0,12.228063593444787,car1.1,10.856413,21.45224203359772
car1.0,11.659755360748317,car1.1,13.684508571545951,19.427488822800086
car1.0,11.494582358794219,car1.1,12.954210937756946,17.967860243837357
car1.0,9.29458235879422,car1.1,12.573295339634742,14.689147262996833
car1.0,7.367672880856693,car1.1,10.373295339634742,11.683524804218777
car1.0,6.443602364674583,car1.1,8.446385861697213,9.680741307196158
car1.0,4.243602364674583,car1.1,7.2917365091363315,6.632607162734416
car1.0,2.043602364674583,car1.1,5.091736509136334,3.5844730182726607
car1.0,3.921998884949274,car1.1,2.891736509136334,None
car1.0,5.450424257504195,car1.1,4.2678671395174295,5.797292512072358
car1.0,7.76132463193629,car1.1,4.044073,9.514544144008651
car1.0,10.553583723796905,car1.1,7.544073,12.524054867805555
car1.0,10.682206745097787,car1.1,10.947477952598636,12.258783660304701
car1.0,10.961972458708473,car1.1,10.99732212813917,12.223433990874003
car1.0,12.597725569923782,car1.1,11.17838730428465,13.642772256513133
car1.0,14.263581670426206,car1.1,12.771733351022007,15.134620575917332
car1.0,14.728269363242575,car1.1,14.387872942639223,15.47501699652068
car1.0,15.26977604582462,car1.1,14.834804739425161,15.909988302920127
car1.0,13.500000892194052,car1.1,15.36109208255255,14.048897112561633
car1.0,13.557134973151673,car1.1,13.578271780817992,14.02776030489531
car1.0,11.357134973151673,car1.1,13.624224306257906,11.760670971789068
car1.0,9.157134973151674,car1.1,11.424224306257907,9.493581638682826
car1.0,7.190813251783885,car1.1,9.224224306257906,7.460170584208811
car1.0,5.210142845603451,car1.1,7.257902584890116,5.412410844922164
car1.0,3.0101428456034505,car1.1,5.2772321787096885,3.145321511815922
car1.0,1.424314636074751,car1.1,3.0772321787096883,1.4924039691809696
car1.0,2.3070438643114635,car1.1,1.4914039691809697,None
car1.0,4.516389717034809,car1.1,2.307043864311461,None
car1.0,5.163527235890552,car1.1,4.516389717034807,5.164527235890566
car1.0,6.671169755783676,car1.1,4.0065409999999995,7.829155991674245
car1.0,8.563250177459604,car1.1,6.960416314756319,9.43198985437753
car1.0,11.466594177800044,car1.1,8.780185096689085,12.118398935488486
car1.0,13.90350574216232,car1.1,11.575061637414786,14.446843040236026
car1.0,11.70350574216232,car1.1,13.980982499029992,12.169366283368355
car1.0,9.503505742162321,car1.1,11.780982499029994,9.891889526500677
car1.0,7.303505742162321,car1.1,9.580982499029993,7.614412769632999
car1.0,5.78679286272768,car1.1,7.380982499029993,6.020223133330688
car1.0,3.7676057707149537,car1.1,5.864269619595349,3.923559284450292
car1.0,6.090736563303881,car1.1,3.8450825275826226,6.169213320171554
car1.0,7.9096707127619545,car1.1,5.355516397556059,8.72336763537745
car1.0,11.084225088693575,car1.1,3.903328,15.904264724071023
car1.0,13.477730433093758,car1.1,7.403328,21.97866715716478
car1.0,12.554589582319641,car1.1,10.903328,23.629928739484424
car1.0,11.682009288125009,car1.1,14.228839521583234,21.083098506026197
car1.0,9.48200928812501,car1.1,13.241734992378749,17.32337280177245
car1.0,7.427092998327026,car1.1,11.04173499237875,13.708730807720727
car1.0,6.068812797033229,car1.1,8.957801960540362,10.819741644213593
car1.0,3.868812797033229,car1.1,7.389091809570013,7.299462631676803
car1.0,4.647845201218502,car1.1,5.189091809570013,6.758216023325289
car1.0,4.75750044048857,car1.1,5.350968808587431,6.164747655226435
car1.0,5.424299146771432,car1.1,3.8939450000000004,7.695101801997865
car1.0,8.459658030794003,car1.1,6.180900031846909,9.973859800944957
car1.0,9.913670786447824,car1.1,8.830366778665393,11.057163808727385
car1.0,11.591983020568826,car1.1,10.142169390903737,12.506977438392475
car1.0,9.927030574048498,car1.1,11.744315423539435,10.689692588901536
car1.0,7.751476033016136,car1.1,10.079362977019105,8.361805644898567
car1.0,5.551476033016136,car1.1,7.903808435986743,6.0094732419279495
car1.0,5.962892103598081,car1.1,5.703808435986743,6.268556909539285
car1.0,3.762892103598081,car1.1,6.0644470389118155,3.9670019742255533
car1.0,7.056389902911708,car1.1,3.864447038911817,7.158944838225441
car1.0,10.114479084576107,car1.1,4.943181553619738,12.33024236918181
car1.0,10.66720158847291,car1.1,4.025307,18.972136957654723
car1.0,14.150949801046028,car1.1,7.525307,25.597779758700753
car1.0,16.226246820257604,car1.1,11.025307,30.798719578958355
car1.0,16.27346495535001,car1.1,14.525307,32.546877534308365
car1.0,18.6182694930654,car1.1,18.025306999999998,33.139840027373765
car1.0,21.85043798778914,car1.1,20.188499597189697,34.801778417973196
car1.0,22.08247036552914,car1.1,23.04133820982504,33.84291057367729
car1.0,20.760269949063435,car1.1,23.151510384451694,31.451670138289018
car1.0,18.94961195199786,car1.1,21.829309967985992,28.571972122300878
car1.0,16.74961195199786,car1.1,19.996786773828376,25.32479730047035
car1.0,16.144616558291382,car1.1,17.796786773828376,23.672627084933346
car1.0,13.944616558291383,car1.1,17.085492874121627,20.531750769103105
car1.0,11.744616558291384,car1.1,14.885492874121628,17.39087445327286
car1.0,9.544616558291384,car1.1,12.68549287412163,14.24999813744261
car1.0,7.74466546142418,car1.1,10.48549287412163,11.509170724745161
car1.0,5.54466546142418,car1.1,8.685541777254425,8.368294408914906
car1.0,3.3446654614241798,car1.1,6.485541777254425,5.227418093084665
car1.0,2.6896654077287767,car1.1,4.285541777254425,3.6315417235590246
car1.0,4.765887861693651,car1.1,3.1601035656438974,5.237326019608776
car1.0,6.3924758177896965,car1.1,4.300532898997105,7.329268938401366
car1.0,6.687204343354702,car1.1,3.762583,10.25389028175606
car1.0,7.822823744238727,car1.1,7.262582999999999,10.814131025994786
car1.0,8.09434485781882,car1.1,8.570400564677742,10.33807531913586
car1.0,8.449925733352453,car1.1,8.65502747314808,10.13297357934023
car1.0,9.22180461682789,car1.1,8.856350155879518,10.498428040288601
car1.0,10.40383511348106,car1.1,9.476929301520034,11.425333852249622
car1.0,10.817801559620534,car1.1,10.607934861234773,11.635200550635382
car1.0,8.617801559620535,car1.1,10.981081357823506,9.271920752432408
car1.0,6.417801559620535,car1.1,8.781081357823506,6.908640954229426
car1.0,5.6922068050954495,car1.1,6.581081357823506,6.019766401501371
